Busan,Chungbuk,Chungnam,Daegu,Daejeon,Gangwon,Gwangju,Gyeongbuk,Gyeonggi,Gyeongnam,Incheon,Jeju,Jeonbuk,Jeonnam,Seoul,Ulsan
1.235,1.583,1.698,1.378,1.501,1.6,1.636,1.578,1.628,1.586,1.473,1.783,1.595,1.75,1.275,1.633
1.103,1.426,1.532,1.216,1.33,1.413,1.421,1.402,1.437,1.417,1.324,1.564,1.426,1.566,1.111,1.423
0.975,1.294,1.361,1.076,1.207,1.317,1.264,1.232,1.305,1.272,1.185,1.394,1.275,1.391,1.006,1.242
0.988,1.27,1.358,1.116,1.221,1.279,1.278,1.253,1.321,1.29,1.213,1.438,1.274,1.389,1.014,1.28
0.953,1.272,1.357,1.087,1.181,1.261,1.203,1.203,1.28,1.266,1.158,1.365,1.239,1.36,1.015,1.241
0.887,1.195,1.267,1.001,1.107,1.188,1.105,1.173,1.183,1.189,1.075,1.31,1.184,1.29,0.932,1.186
0.915,1.233,1.356,1.011,1.158,1.202,1.152,1.208,1.239,1.254,1.116,1.372,1.213,1.337,0.98,1.242
1.024,1.398,1.506,1.137,1.274,1.356,1.262,1.369,1.361,1.434,1.257,1.489,1.38,1.542,1.068,1.403
0.98,1.319,1.444,1.072,1.215,1.253,1.198,1.313,1.285,1.368,1.186,1.386,1.305,1.449,1.01,1.338
0.94,1.317,1.408,1.029,1.156,1.248,1.137,1.274,1.226,1.323,1.143,1.378,1.279,1.445,0.962,1.308
1.045,1.402,1.479,1.109,1.205,1.313,1.223,1.377,1.309,1.413,1.214,1.463,1.374,1.537,1.015,1.369
1.078,1.428,1.496,1.146,1.261,1.338,1.234,1.434,1.314,1.446,1.232,1.487,1.405,1.568,1.014,1.393
1.135,1.485,1.571,1.217,1.315,1.374,1.295,1.489,1.355,1.503,1.301,1.598,1.44,1.642,1.059,1.481
1.049,1.365,1.442,1.127,1.234,1.249,1.17,1.379,1.226,1.367,1.195,1.427,1.32,1.518,0.968,1.391
1.09,1.363,1.421,1.169,1.25,1.248,1.199,1.408,1.241,1.409,1.212,1.481,1.329,1.497,0.983,1.437
1.139,1.414,1.48,1.216,1.277,1.311,1.207,1.464,1.272,1.437,1.216,1.477,1.352,1.549,1.001,1.486
1.095,1.358,1.395,1.186,1.192,1.237,1.168,1.396,1.194,1.358,1.144,1.432,1.251,1.466,0.94,1.418
0.976,1.235,1.276,1.067,1.075,1.123,1.053,1.256,1.069,1.227,1.007,1.305,1.151,1.325,0.836,1.261
0.899,1.172,1.186,0.987,0.952,1.067,0.972,1.167,1.002,1.122,1.006,1.22,1.044,1.24,0.761,1.131
0.827,1.05,1.112,0.932,0.883,1.082,0.913,1.089,0.943,1.046,0.94,1.145,0.971,1.234,0.717,1.084
0.747,0.983,1.029,0.807,0.805,1.036,0.811,1.003,0.878,0.945,0.829,1.021,0.909,1.145,0.642,0.984
0.728,0.949,0.963,0.785,0.81,0.979,0.896,0.966,0.853,0.903,0.778,0.951,0.85,1.017,0.626,0.94
0.723,0.871,0.909,0.757,0.842,0.968,0.844,0.93,0.839,0.838,0.747,0.919,0.817,0.969,0.593,0.848
0.664,0.886,0.842,0.702,0.787,0.893,0.706,0.86,0.766,0.799,0.694,0.827,0.78,0.972,0.552,0.814
0.68,0.88,0.88,0.75,0.79,0.89,0.7,0.9,0.79,0.82,0.76,0.83,0.81,1.03,0.58,0.86
